state,sa2_code,sa2_name,unemployment_rate,unemployed_persons,labour_force
Western Australia,505011080,Ocean Reef,2.0,108,5295
Western Australia,505011081,Padbury,2.9,163,5591
Western Australia,505011082,Sorrento - Marmion,0.9,55,6312
Western Australia,505011083,Woodvale,1.5,95,6259
Western Australia,505021084,Balcatta - Hamersley,3.1,321,10279
Western Australia,505021085,Balga - Mirrabooka,11.6,1449,12457
Western Australia,505021088,Innaloo - Doubleview,3.0,397,13266
Western Australia,505021089,Karrinyup - Gwelup - Carine,1.3,181,13593
Western Australia,505021090,Nollamara - Westminster,5.4,752,13962
Western Australia,505021091,Osborne Park Industrial,3.4,8,235
Western Australia,505021092,Scarborough,1.9,271,14091
Western Australia,505021093,Stirling - Osborne Park,2.5,256,10100
Western Australia,505021094,Trigg - North Beach - Watermans Bay,1.2,61,5102
Western Australia,505021095,Tuart Hill - Joondanna,3.2,313,9696
Western Australia,505021096,Wembley Downs - Churchlands - Woodlands,1.3,120,9340
Western Australia,505021097,Yokine - Coolbinia - Menora,2.6,293,11251
Western Australia,505021301,Dianella - North,3.1,222,7192
Western Australia,505021302,Dianella - South,3.0,259,8608
Western Australia,505031098,Alexander Heights - Koondoola,9.8,657,6718
Western Australia,505031099,Butler - Merriwa - Ridgewood,7.9,1139,14476
Western Australia,505031100,Carramar,4.5,613,13601
Western Australia,505031101,Clarkson,5.8,557,9617
Western Australia,505031102,Girrawheen,14.0,735,5244
Western Australia,505031104,Marangaroo,6.8,419,6181
Western Australia,505031105,Mindarie - Quinns Rocks - Jindalee,2.6,403,15286
Western Australia,505031107,Tapping - Ashby - Sinagra,2.5,229,9086
Western Australia,505031255,Alkimos - Eglinton,4.2,514,12342
Western Australia,505031256,Carabooda - Pinjar,6.6,34,518
Western Australia,505031257,Two Rocks,7.8,192,2472
Western Australia,505031258,Yanchep,5.8,417,7225
Western Australia,505031303,Hocking - Pearsall,3.5,315,9060
Western Australia,505031304,Landsdale,2.9,323,10974
Western Australia,505031305,Madeley - Darch,2.9,271,9351
Western Australia,505031306,Wanneroo - Sinagra,5.0,460,9126
Western Australia,506011110,Armadale - Wungong - Brookdale,12.4,1755,14128
Western Australia,506011112,Camillo - Champion Lakes,11.0,375,3413
Western Australia,506011114,Kelmscott,8.9,533,6020
Western Australia,506011115,Mount Nasura - Mount Richon - Bedfordale,3.1,156,4997
Western Australia,506011116,Roleystone,2.8,126,4476
Western Australia,506011117,Seville Grove,7.4,519,7021
Western Australia,506011307,Harrisdale,1.4,122,8471
Western Australia,506011308,Piara Waters - Forrestdale,1.5,182,12363
Western Australia,506021118,Belmont - Ascot - Redcliffe,5.0,511,10176
Western Australia,506021119,East Victoria Park - Carlisle,3.4,434,12919
Western Australia,506021123,Victoria Park - Lathlain - Burswood,2.4,301,12749
Western Australia,506021309,Cloverdale,5.9,350,5924
Western Australia,506021310,Kewdale,4.2,200,4756
Western Australia,506021311,Rivervale,4.2,358,8517
Western Australia,506031124,Bentley - Wilson - St James,4.1,592,14592
Western Australia,506031125,Canning Vale - West,1.7,111,6516
Western Australia,506031127,Cannington - Queens Park,4.5,676,14946
Western Australia,506031128,Parkwood - Ferndale - Lynwood,3.9,335,8504
Western Australia,506031129,Riverton - Shelley - Rossmoyne,1.4,120,8372
Western Australia,506031131,Willetton,1.7,190,11506
Western Australia,506041132,Beckenham - Kenwick - Langford,7.2,914,12697
Western Australia,506041133,Canning Vale - East,2.2,327,15087
Western Australia,506041134,Gosnells,11.2,1319,11803
Western Australia,506041135,Huntingdale - Southern River,3.8,569,14897
Western Australia,506041136,Maddington - Orange Grove - Martin,8.6,786,9116
Western Australia,506041137,Thornlie,6.2,861,13979
Western Australia,506051138,Forrestfield - Wattle Grove,4.4,565,12877
Western Australia,506051139,High Wycombe,4.3,333,7764
Western Australia,506051140,Kalamunda - Maida Vale - Gooseberry Hill,2.6,230,8793
Western Australia,506051141,Lesmurdie - Bickley - Carmel,2.0,133,6820
Western Australia,506061142,Byford,3.7,542,14722
Western Australia,506061143,Mundijong,3.4,164,4813
Western Australia,506061144,Serpentine - Jarrahdale,3.2,86,2678
Western Australia,506071145,Como,2.5,253,10070
Western Australia,506071146,Manning - Waterford,3.8,277,7386
Western Australia,506071147,South Perth - Kensington,1.9,233,12140
Western Australia,507011148,Banjup,1.9,311,16598
Western Australia,507011152,Coogee,2.3,151,6496
Western Australia,507011153,Coolbellup,5.3,301,5679
Western Australia,507011154,Hamilton Hill,6.8,513,7494
Western Australia,507011158,North Coogee,1.0,32,3120
Western Australia,507011159,South Lake - Cockburn Central,5.4,422,7853
Western Australia,507011160,Spearwood,5.6,397,7148
Western Australia,507011161,Success - Hammond Park,2.3,316,13482
Western Australia,507011163,Yangebup,4.7,236,4993
Western Australia,507011259,Beeliar - Wattleup,3.1,243,7851
Western Australia,507011260,Jandakot,2.3,39,1675
Western Australia,507021164,East Fremantle,2.1,106,4991
Western Australia,507021165,Fremantle,4.9,590,11964
Western Australia,507021166,Fremantle - South,4.1,412,9958
Western Australia,507031169,Wellard (West) - Bertram,4.4,599,13520
Western Australia,507031170,Calista,14.2,561,3963
Western Australia,507031174,Parmelia - Orelia,13.9,913,6551
Western Australia,507031261,Casuarina - Wandi,3.5,239,6756
Western Australia,507041175,Applecross - Ardross,1.6,116,7371
Western Australia,507041176,Bateman,2.1,48,2316
Western Australia,507041177,Bicton - Palmyra,2.1,202,9662
Western Australia,507041178,Booragoon,2.4,234,9945
Western Australia,507041179,Bull Creek,1.6,69,4312
Western Australia,507041180,Leeming,1.2,82,6770
Western Australia,507041181,Melville,1.4,153,11119
Western Australia,507041182,Murdoch - Kardinya,2.2,176,8053
Western Australia,507041183,Willagee,5.8,202,3500
Western Australia,507041184,Winthrop,1.5,56,3674
Western Australia,507051186,Cooloongup,12.9,580,4491
Western Australia,507051187,Port Kennedy,6.8,560,8218
Western Australia,507051188,Rockingham,8.4,816,9750
Western Australia,507051190,Safety Bay - Shoalwater,5.3,355,6756
Western Australia,507051191,Singleton - Golden Bay - Secret Harbour,3.6,565,15700
Western Australia,507051192,Waikiki,7.2,532,7384
Western Australia,507051193,Warnbro,10.0,620,6192
Western Australia,507051312,Baldivis - North,4.6,427,9251
Western Australia,507051313,Baldivis - South,3.4,615,17894
Western Australia,507051314,Karnup,4.7,69,1474
Western Australia,509011225,Albany,2.4,188,7762
Western Australia,509011226,Albany Surrounds,1.1,25,2251
Western Australia,509011227,Bayonet Head - Lower King,2.3,65,2888
Western Australia,509011228,Denmark,1.9,60,3197
Western Australia,509011229,Gnowangerup,1.5,27,1748
Western Australia,509011230,Katanning,4.3,107,2513
Western Australia,509011231,Kojonup,2.5,58,2354
Western Australia,509011232,Little Grove - Elleker,1.4,27,1871
Western Australia,509011233,McKail - Willyung,2.7,171,6398
Western Australia,509011234,Plantagenet,2.6,75,2892
Western Australia,509021236,Chittering,1.0,38,3747
Western Australia,509021237,Cunderdin,4.4,83,1878
Western Australia,509021238,Dowerin,2.6,56,2181
Western Australia,509021239,Gingin - Dandaragan,1.9,101,5373
Western Australia,509021240,Merredin,2.8,81,2862
Western Australia,509021241,Moora,2.3,63,2739
Western Australia,509021242,Mukinbudin,2.7,51,1858
Western Australia,509021243,Northam,4.0,240,5956
Western Australia,509021244,Toodyay,3.0,76,2547
Western Australia,509021245,York - Beverley,3.2,83,2578
Western Australia,509031246,Brookton,3.4,64,1866
Western Australia,509031247,Kulin,1.5,40,2703
Western Australia,509031248,Murray,2.0,27,1334
Western Australia,509031249,Narrogin,2.9,72,2456
Western Australia,509031250,Wagin,1.8,48,2739
Western Australia,510011262,Broome,4.2,405,9621
Western Australia,510011263,Derby - West Kimberley,24.7,737,2988
Western Australia,510011264,Halls Creek,27.8,384,1383
Western Australia,510011265,Kununurra,9.2,404,4379
Western Australia,510011266,Roebuck,16.9,174,1028
Western Australia,510021267,East Pilbara,4.0,184,4568
Western Australia,510021268,Newman,3.1,90,2926
Western Australia,510021269,Port Hedland,0.8,24,2892
Western Australia,510021270,South Hedland,4.5,339,7492
Western Australia,510031271,Ashburton (WA),1.0,52,5284
Western Australia,510031272,Karratha,2.1,255,11934
Western Australia,510031273,Roebourne,3.4,109,3184
Western Australia,511011274,Esperance,2.8,183,6445
Western Australia,511011275,Esperance Surrounds,1.8,45,2442
Western Australia,511021276,Carnarvon,7.5,206,2751
Western Australia,511021277,Exmouth,1.7,55,3153
Western Australia,511031278,Boulder,4.3,182,4193
Western Australia,511031279,Kalgoorlie,2.4,199,8292
Western Australia,511031280,Kalgoorlie - North,1.6,91,5583
Western Australia,511031282,Kambalda - Coolgardie - Norseman,5.3,136,2577
Western Australia,511031283,Leinster - Leonora,13.6,375,2757
Western Australia,511041285,Geraldton,5.8,344,5942
Western Australia,511041286,Geraldton - East,6.3,262,4145
Western Australia,511041287,Geraldton - North,2.4,125,5131
Western Australia,511041288,Geraldton - South,1.9,115,6068
Western Australia,511041289,Irwin,2.6,47,1787
Western Australia,511041290,Meekatharra,8.9,170,1915
Western Australia,511041291,Morawa,3.7,79,2151
Western Australia,511041292,Northampton - Mullewa - Greenough,3.8,112,2984
Tasmania,601011001,Bridgewater - Gagebrook,18.6,625,3357
Tasmania,601011002,Brighton - Pontville,3.1,125,4011
Tasmania,601011003,Old Beach - Otago,2.2,64,2944
Tasmania,601021004,Bellerive - Rosny,2.3,80,3427
Tasmania,601021005,Cambridge,1.4,68,4990
Tasmania,601021006,Geilston Bay - Risdon,1.9,38,2010
Tasmania,601021007,Howrah - Tranmere,1.7,108,6455
Tasmania,601021008,Lindisfarne - Rose Bay,2.0,75,3841
Tasmania,601021009,Mornington - Warrane,6.7,168,2512
Tasmania,601021010,Risdon Vale,10.8,148,1365
Tasmania,601021011,Rokeby,7.3,333,4565
Tasmania,601021012,South Arm,2.3,61,2611
Tasmania,601031013,Austins Ferry - Granton,2.7,70,2639
Tasmania,601031014,Berriedale - Chigwell,6.8,202,2968
Tasmania,601031015,Claremont (Tas.),5.7,247,4314
Tasmania,601031016,Derwent Park - Lutana,7.4,182,2444
Tasmania,601031017,Glenorchy,6.7,426,6353
Tasmania,601031018,Montrose - Rosetta,4.6,118,2579
Tasmania,601031019,Moonah,5.1,166,3243
Tasmania,601031020,New Norfolk,7.8,280,3569
Tasmania,601031021,West Moonah,4.3,108,2488
Tasmania,601041022,Kingston - Huntingfield,2.9,221,7687
Tasmania,601041023,Kingston Beach - Blackmans Bay,2.4,149,6095
Tasmania,601041024,Margate - Snug,2.5,119,4716
Tasmania,601041026,Taroona - Bonnet Hill,1.8,34,1882
Tasmania,601051027,Hobart,5.2,302,5826
Tasmania,601051028,Lenah Valley - Mount Stuart,2.0,106,5420
Tasmania,601051029,Mount Nelson - Dynnyrne,2.1,62,2990
Tasmania,601051030,New Town,3.6,132,3685
Tasmania,601051031,Sandy Bay,1.3,89,7111
Tasmania,601051032,South Hobart - Fern Tree,2.6,103,4021
Tasmania,601051033,West Hobart,2.1,83,3949
Tasmania,601061034,Dodges Ferry - Lewisham,4.6,216,4723
Tasmania,601061035,Sorell - Richmond,3.4,192,5570
Tasmania,602011036,Invermay,5.8,113,1953
Tasmania,602011037,Kings Meadows - Punchbowl,3.7,97,2610
Tasmania,602011038,Launceston,4.7,152,3239
Tasmania,602011039,Legana,1.3,34,2685
Tasmania,602011040,Mowbray,6.2,135,2177
Tasmania,602011041,Newnham - Mayfield,6.7,324,4814
Tasmania,602011042,Newstead,2.0,56,2780
Tasmania,602011043,Norwood (Tas.),2.4,44,1832
Tasmania,602011044,Prospect Vale - Blackstone,2.0,74,3639
Tasmania,602011045,Ravenswood,13.4,216,1606
Tasmania,602011046,Riverside,1.9,74,3932
Tasmania,602011047,South Launceston,3.2,88,2752
Tasmania,602011048,Summerhill - Prospect,3.1,84,2668
Tasmania,602011049,Trevallyn,2.1,56,2715
Tasmania,602011050,Waverley - St Leonards,4.2,89,2111
Tasmania,602011051,West Launceston,2.6,62,2427
Tasmania,602011052,Youngtown - Relbia,2.1,56,2711
Tasmania,602021053,Beauty Point - Beaconsfield,5.8,101,1750
Tasmania,602021054,Deloraine,3.0,90,3029
Tasmania,602021055,Grindelwald - Lanena,2.7,87,3167
Tasmania,602021056,Hadspen - Carrick,1.7,37,2162
Tasmania,602021057,Westbury,3.1,71,2315
Tasmania,602031058,Dilston - Lilydale,2.2,55,2449
Tasmania,602031059,George Town,6.5,203,3110
Tasmania,602031060,Longford,2.9,66,2252
Tasmania,602031061,Northern Midlands,3.8,73,1930
Tasmania,602031062,Perth - Evandale,2.0,61,3050
Tasmania,602031064,St Helens - Scamander,6.5,185,2862
Tasmania,602031099,Flinders and Cape Barren Islands,3.1,16,517
Tasmania,602031100,Scottsdale - Bridport,4.3,145,3386
Tasmania,603011065,Central Highlands,4.5,50,1112
Tasmania,603011066,Derwent Valley,3.2,56,1764
Tasmania,603011067,Southern Midlands,2.5,87,3419
Tasmania,603021069,Bruny Island - Kettering,2.2,35,1595
Tasmania,603021070,Cygnet,4.3,95,2187
Tasmania,603021071,Geeveston - Dover,3.6,66,1855
Tasmania,603021072,Huonville - Franklin,2.8,136,4941
Tasmania,603031073,Forestier - Tasman,4.7,52,1101
Tasmania,603031074,Triabunna - Bicheno,2.4,54,2283
Tasmania,604011075,Acton - Upper Burnie,7.6,120,1574
Tasmania,604011076,Burnie - Ulverstone Surrounds,2.4,74,3064
Tasmania,604011077,Burnie - Wivenhoe,9.0,162,1792
Tasmania,604011078,Parklands - Camdale,4.9,167,3419
Tasmania,604011079,Penguin - Sulphur Creek,3.4,98,2910
Tasmania,604011080,Romaine - Havenview,3.8,74,1970
Tasmania,604011081,Somerset,3.5,71,2045
Tasmania,604011082,Ulverstone,4.2,138,3277
Tasmania,604011083,West Ulverstone,5.0,100,2007
Tasmania,604011084,Wynyard,3.9,118,2990
Tasmania,604021085,Devonport,5.8,415,7216
Tasmania,604021086,East Devonport,7.1,165,2331
Tasmania,604021087,Latrobe,3.4,99,2906
Tasmania,604021088,Miandetta - Don,2.6,54,2073
Tasmania,604021089,Port Sorell,2.4,79,3346
Tasmania,604021090,Quoiba - Spreyton,2.5,46,1838
Tasmania,604021091,Sheffield - Railton,3.5,121,3490
Tasmania,604021092,Turners Beach - Forth,1.4,29,2047
Tasmania,604031093,King Island,1.3,13,971
Tasmania,604031094,North West,2.8,66,2391
Tasmania,604031095,Smithton,3.9,77,1984
Tasmania,604031096,Waratah,3.8,76,2025
Tasmania,604031097,West Coast (Tas.),7.6,158,2071
Northern Territory,701011002,Darwin City,2.5,153,6129
Northern Territory,701011004,Fannie Bay - The Gardens,1.2,30,2477
Northern Territory,701011005,Larrakeyah,0.6,20,3165
Northern Territory,701011006,Ludmilla - The Narrows,5.5,85,1547
Northern Territory,701011007,Parap,2.1,42,1957
Northern Territory,701011008,Stuart Park,1.5,48,3239
Northern Territory,701011009,Woolner - Bayview - Winnellie,1.0,20,2058
Northern Territory,701021010,Alawa,4.6,56,1210
Northern Territory,701021011,Anula,3.7,51,1380
Northern Territory,701021012,Berrimah,6.5,83,1279
Northern Territory,701021013,Brinkin - Nakara,2.9,62,2142
Northern Territory,701021016,Coconut Grove,5.9,105,1792
Northern Territory,701021018,Jingili,3.5,37,1044
Northern Territory,701021019,Karama,6.9,184,2665
Northern Territory,701021020,Leanyer,1.5,45,2927
Northern Territory,701021021,Lyons (NT),0.6,24,4193
Northern Territory,701021022,Malak - Marrara,8.2,210,2562
Northern Territory,701021023,Millner,3.2,51,1617
Northern Territory,701021024,Moil,3.8,45,1191
Northern Territory,701021025,Nightcliff,2.4,65,2694
Northern Territory,701021026,Rapid Creek,1.7,38,2232
Northern Territory,701021027,Tiwi,2.9,40,1393
Northern Territory,701021028,Wagaman,3.5,41,1184
Northern Territory,701021029,Wanguri,4.0,43,1083
Northern Territory,701021030,Wulagi,3.4,51,1492
Northern Territory,701031031,Howard Springs,1.9,55,2906
Northern Territory,701031032,Humpty Doo,2.2,127,5750
Northern Territory,701031034,Virginia,2.4,53,2194
Northern Territory,701031035,Weddell,3.8,99,2628
Northern Territory,701041036,Bakewell,2.2,46,2091
Northern Territory,701041037,Driver,5.0,85,1690
Northern Territory,701041038,Durack - Marlow Lagoon,1.3,40,3071
Northern Territory,701041039,Gray,12.9,242,1878
Northern Territory,701041040,Moulden,13.6,217,1595
Northern Territory,701041041,Palmerston - North,2.1,61,2917
Northern Territory,701041042,Palmerston - South,1.1,61,5432
Northern Territory,701041043,Rosebery - Bellamack,1.3,54,4265
Northern Territory,701041044,Woodroffe,6.2,123,1982
Northern Territory,702011045,Charles,3.1,102,3321
Northern Territory,702011046,East Side,1.8,85,4762
Northern Territory,702011047,Flynn (NT),1.7,68,3946
Northern Territory,702011048,Larapinta,1.8,76,4277
Northern Territory,702011049,Mount Johns,0.7,30,4139
Northern Territory,702011050,Petermann - Simpson,4.0,71,1755
Northern Territory,702011051,Ross,1.9,41,2108
Northern Territory,702011052,Sandover - Plenty,16.3,207,1272
Northern Territory,702011053,Tanami,14.4,166,1151
Northern Territory,702011054,Yuendumu - Anmatjere,21.0,151,720
Northern Territory,702021055,Barkly,11.3,137,1214
Northern Territory,702021056,Tennant Creek,5.6,109,1958
Northern Territory,702031057,Alligator,2.8,86,3072
Northern Territory,702031058,Daly,10.4,96,920
Northern Territory,702031059,Thamarrurr,28.4,185,651
Northern Territory,702031060,Tiwi Islands,14.5,153,1055
Northern Territory,702031061,West Arnhem,15.5,347,2236
Northern Territory,702041062,Anindilyakwa,7.6,109,1435
Northern Territory,702041063,East Arnhem,21.2,520,2450
Northern Territory,702041064,Nhulunbuy,0.6,19,3031
Northern Territory,702051065,Elsey,11.5,129,1125
Northern Territory,702051066,Gulf,17.2,274,1595
Northern Territory,702051067,Katherine,2.5,201,8022
Northern Territory,702051068,Victoria River,10.1,142,1407
Australian Capital Territory,801011001,Aranda,2.9,40,1379
Australian Capital Territory,801011002,Belconnen,4.5,298,6573
Australian Capital Territory,801011003,Bruce,2.6,142,5527
Australian Capital Territory,801011004,Charnwood,12.0,195,1631
Australian Capital Territory,801011005,Cook,3.4,56,1638
Australian Capital Territory,801011006,Dunlop,4.8,208,4374
Australian Capital Territory,801011007,Evatt,4.0,126,3140
Australian Capital Territory,801011008,Florey,5.5,140,2539
Australian Capital Territory,801011009,Flynn (ACT),5.0,101,2033
Australian Capital Territory,801011010,Fraser,4.0,44,1091
Australian Capital Territory,801011011,Giralang,4.8,86,1789
Australian Capital Territory,801011013,Hawker,4.2,68,1608
Australian Capital Territory,801011014,Higgins,5.4,96,1790
Australian Capital Territory,801011015,Holt,6.1,201,3301
Australian Capital Territory,801011016,Kaleen,5.2,213,4101
Australian Capital Territory,801011017,Latham,6.2,126,2026
Australian Capital Territory,801011018,Lawson,1.2,27,2184
Australian Capital Territory,801011019,Macgregor (ACT),4.7,189,4018
Australian Capital Territory,801011020,Macquarie,5.7,102,1780
Australian Capital Territory,801011021,McKellar,5.5,77,1411
Australian Capital Territory,801011022,Melba,6.8,122,1785
Australian Capital Territory,801011023,Page,5.7,89,1569
Australian Capital Territory,801011024,Scullin,7.0,115,1653
Australian Capital Territory,801011025,Spence,5.4,75,1388
Australian Capital Territory,801011026,Weetangera,2.2,35,1559
Australian Capital Territory,801011143,Strathnairn,2.8,34,1193
Australian Capital Territory,801031113,Canberra East,14.4,95,660
Australian Capital Territory,801031115,Majura,1.0,2,202
Australian Capital Territory,801041034,Amaroo,3.0,112,3676
Australian Capital Territory,801041035,Bonner,3.7,164,4378
Australian Capital Territory,801041036,Casey,3.2,138,4250
Australian Capital Territory,801041037,Crace,2.0,59,2915
Australian Capital Territory,801041038,Forde,1.9,51,2753
Australian Capital Territory,801041039,Franklin,2.1,105,5047
Australian Capital Territory,801041040,Gungahlin,4.9,301,6205
Australian Capital Territory,801041043,Hall,1.3,2,156
Australian Capital Territory,801041044,Harrison,2.2,114,5245
Australian Capital Territory,801041046,Ngunnawal,4.5,298,6555
Australian Capital Territory,801041047,Nicholls,1.8,70,3854
Australian Capital Territory,801041048,Palmerston,4.6,149,3231
Australian Capital Territory,801041118,Jacka,4.1,18,434
Australian Capital Territory,801041120,Moncrieff,3.9,136,3485
Australian Capital Territory,801041121,Taylor,5.7,151,2656
Australian Capital Territory,801041122,Throsby,2.3,48,2092
Australian Capital Territory,801051049,Acton,0.8,18,2261
Australian Capital Territory,801051050,Ainslie,5.1,148,2908
Australian Capital Territory,801051051,Braddon,2.7,162,5901
Australian Capital Territory,801051053,Civic,2.5,97,3817
Australian Capital Territory,801051054,Dickson,3.6,102,2842
Australian Capital Territory,801051055,Downer,5.1,139,2752
Australian Capital Territory,801051056,Hackett,4.0,73,1842
Australian Capital Territory,801051057,Lyneham,4.2,158,3800
Australian Capital Territory,801051058,O'Connor (ACT),3.9,142,3681
Australian Capital Territory,801051060,Turner,3.4,120,3497
Australian Capital Territory,801051061,Watson,2.7,124,4527
Australian Capital Territory,801051124,Campbell,1.7,58,3413
Australian Capital Territory,801051125,Duntroon,0.0,0,1967
Australian Capital Territory,801051126,Parkes (ACT) - North,3.0,6,197
Australian Capital Territory,801051127,Reid,4.3,54,1248
Australian Capital Territory,801061062,Deakin,1.9,32,1679
Australian Capital Territory,801061063,Forrest,0.7,9,1205
Australian Capital Territory,801061064,Griffith (ACT),1.3,50,3707
Australian Capital Territory,801061067,Narrabundah,3.6,138,3876
Australian Capital Territory,801061069,Red Hill (ACT),1.7,34,2011
Australian Capital Territory,801061070,Yarralumla,2.4,38,1608
Australian Capital Territory,801061129,Barton,0.4,6,1461
Australian Capital Territory,801061131,Kingston (ACT),0.7,42,5637
Australian Capital Territory,801071071,Banks,4.3,137,3153
Australian Capital Territory,801071072,Bonython,5.4,118,2167
Australian Capital Territory,801071073,Calwell,3.5,114,3277
Australian Capital Territory,801071074,Chisholm,4.9,144,2955
Australian Capital Territory,801071075,Conder,5.6,165,2922
Australian Capital Territory,801071076,Fadden,1.0,17,1651
Australian Capital Territory,801071077,Gilmore,5.8,86,1483
Australian Capital Territory,801071078,Gordon (ACT),4.7,216,4589
Australian Capital Territory,801071079,Gowrie (ACT),7.2,118,1649
Australian Capital Territory,801071080,Greenway,5.5,188,3389
Australian Capital Territory,801071081,Isabella Plains,5.5,134,2417
Australian Capital Territory,801071082,Kambah,5.4,449,8390
Australian Capital Territory,801071083,Macarthur,2.2,17,762
Australian Capital Territory,801071084,Monash,4.3,124,2878
Australian Capital Territory,801071086,Oxley (ACT),8.2,75,919
Australian Capital Territory,801071087,Richardson,6.5,110,1693
Australian Capital Territory,801071088,Theodore,6.0,140,2318
Australian Capital Territory,801071090,Wanniassa,5.5,232,4205
Australian Capital Territory,801081091,Chapman,1.7,25,1471
Australian Capital Territory,801081092,Duffy,4.0,75,1880
Australian Capital Territory,801081093,Fisher,4.8,84,1748
Australian Capital Territory,801081094,Holder,2.8,45,1596
Australian Capital Territory,801081095,Rivett,6.0,107,1795
Australian Capital Territory,801081096,Stirling,5.1,51,1005
Australian Capital Territory,801081097,Waramanga,4.6,67,1457
Australian Capital Territory,801081098,Weston,2.5,53,2100
Australian Capital Territory,801091099,Chifley,3.7,59,1603
Australian Capital Territory,801091100,Curtin,3.6,107,2959
Australian Capital Territory,801091101,Farrer,2.7,52,1950
Australian Capital Territory,801091102,Garran,1.9,36,1897
Australian Capital Territory,801091103,Hughes,2.3,38,1621
Australian Capital Territory,801091104,Isaacs,3.1,37,1185
Australian Capital Territory,801091105,Lyons (ACT),4.1,78,1923
Australian Capital Territory,801091106,Mawson,2.9,57,1986
Australian Capital Territory,801091107,O'Malley,1.1,6,544
Australian Capital Territory,801091108,Pearce,2.5,36,1464
Australian Capital Territory,801091109,Phillip,3.1,150,4791
Australian Capital Territory,801091110,Torrens,2.9,39,1352
Australian Capital Territory,801101135,Coombs,3.1,117,3797
Australian Capital Territory,801101136,Denman Prospect,2.1,66,3171
Australian Capital Territory,801101139,Wright,2.5,77,3025
Australian Capital Territory,801101146,Whitlam,8.0,49,612
Australian Capital Territory,801111140,ACT - South West,0.8,3,367
