state,sa2_code,sa2_name,unemployment_rate,unemployed_persons,labour_force
Queensland,318021469,Belgian Gardens - Pallarenda,3.2,50,1568
Queensland,318021470,Bohle Plains,1.4,80,5623
Queensland,318021471,Condon - Rasmussen,9.2,475,5174
Queensland,318021472,Cranbrook,7.1,209,2956
Queensland,318021474,Douglas,2.0,99,4894
Queensland,318021475,Garbutt - West End,10.1,349,3466
Queensland,318021476,Gulliver - Currajong - Vincent,10.1,394,3912
Queensland,318021477,Heatley,10.6,192,1818
Queensland,318021478,Hermit Park - Rosslea,7.5,241,3208
Queensland,318021479,Hyde Park - Pimlico,6.8,172,2521
Queensland,318021480,Kelso,6.8,375,5498
Queensland,318021481,Kirwan - East,11.3,400,3529
Queensland,318021482,Kirwan - West,3.4,281,8250
Queensland,318021483,Magnetic Island,6.3,74,1178
Queensland,318021484,Mount Louisa,3.1,186,6023
Queensland,318021485,Mundingburra,5.6,92,1638
Queensland,318021486,Northern Beaches,4.5,151,3350
Queensland,318021487,Oonoonba,1.9,88,4588
Queensland,318021488,South Townsville - Railway Estate,5.1,161,3177
Queensland,318021489,Townsville - South,2.8,80,2876
Queensland,318021490,Townsville City - North Ward,5.9,340,5726
Queensland,318021491,Wulguru - Roseneath,6.8,166,2453
Queensland,318021582,Burdell - Mount Low,2.1,251,12087
Queensland,318021583,Deeragun - Jensen,4.9,163,3334
Queensland,319011492,Ashfield - Kepnock,4.0,125,3121
Queensland,319011493,Bargara - Burnett Heads,2.5,270,10748
Queensland,319011494,Branyan - Kensington,2.7,93,3483
Queensland,319011495,Bundaberg,8.6,306,3545
Queensland,319011496,Bundaberg East - Kalkie,3.8,126,3351
Queensland,319011497,Bundaberg North - Gooburrum,5.2,200,3826
Queensland,319011498,Bundaberg Surrounds - North,3.7,192,5212
Queensland,319011499,Bundaberg Surrounds - South,4.4,257,5804
Queensland,319011500,Millbank - Avoca,4.9,182,3690
Queensland,319011501,Svensson Heights - Norville,5.9,181,3067
Queensland,319011502,Walkervale - Avenell Heights,5.4,305,5670
Queensland,319021503,Gayndah - Mundubbera,3.7,144,3844
Queensland,319021504,Gin Gin,7.4,194,2612
Queensland,319021505,Kingaroy,4.6,273,5948
Queensland,319021506,Kingaroy Surrounds - North,8.2,366,4453
Queensland,319021507,Kingaroy Surrounds - South,2.9,77,2642
Queensland,319021508,Monto - Eidsvold,4.9,106,2155
Queensland,319021509,Nanango,8.0,341,4259
Queensland,319031511,Cooloola,5.8,143,2475
Queensland,319031512,Gympie - North,6.9,517,7465
Queensland,319031513,Gympie - South,4.1,177,4299
Queensland,319031514,Gympie Surrounds,3.4,413,12043
Queensland,319031515,Kilkivan,4.0,79,1993
Queensland,319041516,Booral - River Heads,3.0,119,3967
Queensland,319041517,Craignish - Dundowran Beach,2.6,85,3209
Queensland,319041518,Pialba - Eli Waters,5.7,402,7058
Queensland,319041519,Point Vernon,5.4,137,2536
Queensland,319041520,Torquay - Scarness - Kawungan,6.1,442,7296
Queensland,319041521,Urangan - Wondunna,4.1,321,7743
Queensland,319051522,Burrum - Fraser,4.8,232,4804
Queensland,319051523,Granville,7.5,106,1414
Queensland,319051524,Maryborough (Qld),7.9,668,8404
Queensland,319051525,Maryborough Surrounds - South,6.2,294,4749
Queensland,319051526,Tinana,4.0,120,3026
South Australia,401011001,Adelaide,7.5,1057,14087
South Australia,401011002,North Adelaide,2.8,127,4608
South Australia,401021003,Adelaide Hills,2.8,123,4404
South Australia,401021004,Aldgate - Stirling,1.8,203,11043
South Australia,401021005,Hahndorf - Echunga,2.8,73,2648
South Australia,401021006,Lobethal - Woodside,3.0,173,5722
South Australia,401021007,Mount Barker,4.0,591,14935
South Australia,401021008,Mount Barker Surrounds,3.9,171,4397
South Australia,401021009,Nairne,3.7,131,3495
South Australia,401021010,Uraidla - Summertown,1.9,71,3831
South Australia,401031011,Burnside - Wattle Park,2.0,227,11373
South Australia,401031012,Beaumont - Glen Osmond,1.8,102,5802
South Australia,401031013,Toorak Gardens,1.9,178,9276
South Australia,401041014,Athelstone,2.6,153,5951
South Australia,401041015,Paradise - Newton,4.3,549,12822
South Australia,401041016,Rostrevor - Magill,3.1,464,14832
South Australia,401051017,Norwood (SA),3.1,228,7409
South Australia,401051018,Payneham - Felixstow,3.1,251,7969
South Australia,401051019,St Peters - Marden,2.3,200,8663
South Australia,401061020,Nailsworth - Broadview,2.9,121,4161
South Australia,401061021,Prospect,2.7,290,10671
South Australia,401061022,Walkerville,3.1,147,4775
South Australia,401071023,Goodwood - Millswood,2.4,265,11262
South Australia,401071024,Unley - Parkside,2.3,285,12516
South Australia,402011025,Gawler - North,2.3,136,5818
South Australia,402011026,Gawler - South,4.2,503,12013
South Australia,402011027,Lewiston - Two Wells,2.9,126,4399
South Australia,402021028,Craigmore - Blakeview,4.9,554,11302
South Australia,402021029,Davoren Park,11.1,1024,9200
South Australia,402021030,Elizabeth,22.2,860,3874
South Australia,402021031,Elizabeth East,10.1,663,6567
South Australia,402021032,Munno Para West - Angle Vale,4.9,589,12045
South Australia,402021033,One Tree Hill,1.0,15,1481
South Australia,402021034,Smithfield - Elizabeth North,17.4,892,5139
South Australia,402021035,Virginia - Waterloo Corner,4.2,159,3769
South Australia,402031036,Enfield - Blair Athol,4.9,718,14763
South Australia,402031038,Windsor Gardens,2.6,344,13427
South Australia,402031175,Northgate - Northfield,2.4,256,10617
